LOCATION,ADDRESS,CITY,ZIP CODE,2011 PARTICIPANTS,2011 BOOKS READ,MAP LOCATION
Merlo,644 W. Belmont Avenue,CHICAGO,60657,565,15783,"644 W. Belmont Avenue
CHICAGO 60657
(41.940084208613214, -87.64614322696454)"
Kraft Great Kids,At targeted park district locations,CHICAGO,,184,3513,"At targeted park district locations
CHICAGO"
West Lawn,4020 W. 63rd Street,CHICAGO,60629,797,9733,"4020 W. 63rd Street
CHICAGO 60629
(41.778662219559784, -87.7235385705056)"
Mayfair,4400 W. Lawrence Avenue,CHICAGO,60630,413,12739,"4400 W. Lawrence Avenue
CHICAGO 60630
(41.968151058825754, -87.73827732882239)"
Canaryville,642 W. 43rd Street,CHICAGO,60609,278,7802,"642 W. 43rd Street
CHICAGO 60609
(41.815374232488296, -87.6425534920237)"
Austin,5615 W. Race Avenue,CHICAGO,60644,432,10480,"5615 W. Race Avenue
CHICAGO 60644
(41.889272153514526, -87.76571186722818)"
West Belmont,3104 N. Narragansett Avenue,CHICAGO,60634,607,16845,"3104 N. Narragansett Avenue
CHICAGO 60634
(41.93666211869315, -87.78589145006396)"
Walker,11071 S. Hoyne Avenue,CHICAGO,60643,1080,25022,"11071 S. Hoyne Avenue
CHICAGO 60643
(41.69244169242589, -87.67413286555718)"
Archer Heights,5055 S. Archer Avenue,CHICAGO,60632,358,7685,"5055 S. Archer Avenue
CHICAGO 60632
(41.8012136599335, -87.72649071431441)"
Bezazian,1226 W. Ainslie Street,CHICAGO,60640,826,18821,"1226 W. Ainslie Street
CHICAGO 60640
(41.971415597792145, -87.66073778345611)"
Near North,310 W. Division Street,CHICAGO,60610,553,11380,"310 W. Division Street
CHICAGO 60610
(41.90386938756309, -87.63648979790898)"
Scottsdale,4101 W. 79th Street,CHICAGO,60652,649,11928,"4101 W. 79th Street
CHICAGO 60652
(41.749361683410754, -87.72439557570442)"
Sulzer Regional,4455 N. Lincoln Avenue,CHICAGO,60625,1888,41347,"4455 N. Lincoln Avenue
CHICAGO 60625
(41.96240358108169, -87.68441684946531)"
Garfield Ridge,6348 S. Archer Avenue,CHICAGO,60638,1097,26624,"6348 S. Archer Avenue
CHICAGO 60638
(41.792855208874585, -87.78009580318485)"
Brainerd,1350 W. 89th Street,CHICAGO,60620,750,18923,"1350 W. 89th Street
CHICAGO 60620
(41.732316757097045, -87.65723451581835)"
Brighton Park,4314 S. Archer Avenue,CHICAGO,60632,775,19243,"4314 S. Archer Avenue
CHICAGO 60632
(41.815138789328266, -87.70265431614907)"
Toman,2708 S. Pulaski Road,CHICAGO,60623,1693,39605,"2708 S. Pulaski Road
CHICAGO 60623
(41.84207510353821, -87.72447273567263)"
Manning,6 S. Hoyne Avenue,CHICAGO,60612,723,14125,"6 S. Hoyne Avenue
CHICAGO 60612
(41.88118570415187, -87.67914211111776)"
Beverly,1962 W. 95th Street,CHICAGO,60643,1053,25803,"1962 W. 95th Street
CHICAGO 60643
(41.721180505456495, -87.6719464613888)"
Chicago Lawn,6120 S. Kedzie Avenue ,CHICAGO,60629,1698,40490,"6120 S. Kedzie Avenue
CHICAGO 60629
(41.78180787787282, -87.70326162211758)"
South Chicago,9055 S. Houston Avenue,CHICAGO,60617,439,12280,"9055 S. Houston Avenue
CHICAGO 60617
(41.73057483460938, -87.54980694003919)"
Lozano,1805 S. Loomis Street,CHICAGO,60608,1434,30747,"1805 S. Loomis Street
CHICAGO 60608
(41.857525456001554, -87.66129536311428)"
Blackstone,4904 S. Lake Park Avenue,CHICAGO,60615,953,22319,"4904 S. Lake Park Avenue
CHICAGO 60615
(41.8058403098503, -87.58934182212592)"
West Pullman,830 W. 119th Street,CHICAGO,60643,155,2636,"830 W. 119th Street
CHICAGO 60643
(41.67785087178982, -87.64299968326193)"
Hall,4801 S. Michigan Avenue,CHICAGO,60615,773,21737,"4801 S. Michigan Avenue
CHICAGO 60615
(41.80743298280974, -87.62273981936815)"
Austin-Irving,6100 W. Irving Park Road,CHICAGO,60634,815,13093,"6100 W. Irving Park Road
CHICAGO 60634
(41.953024462292944, -87.77942131166287)"
McKinley Park,1915 W. 35th Street,CHICAGO,60609,286,5409,"1915 W. 35th Street
CHICAGO 60609
(41.830447500170855, -87.67339165430255)"
