"ZIP Code","School ID","Name of School","CPS Performance Policy Level","2011 PARTICIPANTS"
60623,609966,"Charles G Hammond Elementary School","Level 2",1693
60623,609966,"Charles G Hammond Elementary School","Level 2",1056
60634,610539,"Marvin Camras Elementary School","Not Enough Data",607
60634,610539,"Marvin Camras Elementary School","Not Enough Data",815
60634,610539,"Marvin Camras Elementary School","Not Enough Data",770
60625,609852,"Eliza Chappell Elementary School","Level 1",1888
60625,609852,"Eliza Chappell Elementary School","Level 1",1103
60651,609835,"Daniel R Cameron Elementary School","Level 3",275
60636,610521,"Sir Miles Davis Magnet Elementary Academy","Level 3",606
60639,609818,"Luther Burbank Elementary School","Level 2",1070
60639,609818,"Luther Burbank Elementary School","Level 2",1348
60620,610298,"Lenart Elementary Regional Gifted Center","Level 1",750
60620,610298,"Lenart Elementary Regional Gifted Center","Level 1",1277
60617,610200,"James N Thorp Elementary School","Level 3",439
60617,610200,"James N Thorp Elementary School","Level 3",352
60617,610200,"James N Thorp Elementary School","Level 3",276
60617,610200,"James N Thorp Elementary School","Level 3",421
60610,609680,"Walter Payton College Preparatory High School","Level 1",553
60623,610056,"Roswell B Mason Elementary School","Level 3",1693
60623,610056,"Roswell B Mason Elementary School","Level 3",1056
60827,609848,"Ira F Aldridge Elementary School","Level 3",181
60614,610038,"Abraham Lincoln Elementary School","Level 1",1142
60623,610123,"William Penn Elementary School","Level 3",1693
60623,610123,"William Penn Elementary School","Level 3",1056
60622,609863,"Christopher Columbus Elementary School","Level 1",571
60629,610226,"Socorro Sandoval Elementary School","Level 3",797
60629,610226,"Socorro Sandoval Elementary School","Level 3",1698
60612,609722,"Manley Career Academy High School","Level 3",723
60612,609722,"Manley Career Academy High School","Level 3",334
60612,610308,"Wilma Rudolph Elementary Learning Center","Not Enough Data",723
60612,610308,"Wilma Rudolph Elementary Learning Center","Not Enough Data",334
60625,609749,"Northside College Preparatory High School","Level 1",1888
60625,609749,"Northside College Preparatory High School","Level 1",1103
60632,609958,"Frank W Gunsaulus Elementary Scholastic Academy","Level 1",358
60632,609958,"Frank W Gunsaulus Elementary Scholastic Academy","Level 1",775
60632,609958,"Frank W Gunsaulus Elementary Scholastic Academy","Level 1",340
60612,610121,"Washington Irving Elementary School","Level 2",723
60612,610121,"Washington Irving Elementary School","Level 2",334
60652,610352,"Durkin Park Elementary School","Level 1",649
60652,610352,"Durkin Park Elementary School","Level 1",1230
60633,609856,"Henry Clay Elementary School","Level 2",118
60637,609919,"John Fiske Elementary School","Level 3",743
60623,609938,"Joseph E Gary Elementary School","Level 2",1693
60623,609938,"Joseph E Gary Elementary School","Level 2",1056
60625,610212,"Albany Park Multicultural Academy","Level 1",1888
60625,610212,"Albany Park Multicultural Academy","Level 1",1103
60609,610239,"Richard J Daley Elementary Academy","Level 2",278
60609,610239,"Richard J Daley Elementary Academy","Level 2",286
60609,610239,"Richard J Daley Elementary Academy","Level 2",882
60609,610239,"Richard J Daley Elementary Academy","Level 2",492
60609,610239,"Richard J Daley Elementary Academy","Level 2",360
60631,610523,"Edison Park Elementary School","Level 1",797
60619,610047,"James Madison Elementary School","Level 2",721
60619,610047,"James Madison Elementary School","Level 2",403
60644,610244,"Michele Clark Academic Prep Magnet High School","Level 3",432
60608,610013,"Pilsen Elementary Community Academy","Level 1",1434
60608,610013,"Pilsen Elementary Community Academy","Level 1",828
60640,610394,"Uplift Community High School","Level 2",826
60612,610243,"John Calhoun North Elementary School","Level 1",723
60612,610243,"John Calhoun North Elementary School","Level 1",334
60636,610285,"Granville T Woods Math & Science Academy Elementary School","Level 2",606
